Total Times:	8
Total Samples:	10
Total Genes:	20
Time	0
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	122.28	124.49	72.05	24.63	156.70	195.96	120.90	47.13	107.15	149.87
1	G-1	137.00	61.33	187.24	87.63	182.19	208.47	129.64	206.35	2.46	76.24
2	G-2	50.07	16.30	70.15	177.55	5.28	7.74	187.22	196.04	64.82	77.56
3	G-3	143.26	148.73	66.30	184.41	50.16	114.98	40.77	182.02	202.24	117.94
4	G-4	30.04	207.71	96.30	202.98	105.83	98.07	200.67	11.55	200.69	62.82
5	G-5	32.57	13.61	176.27	183.67	72.34	63.02	178.99	31.08	59.20	202.39
6	G-6	97.28	189.86	185.54	39.36	200.24	49.44	37.94	186.36	95.24	74.88
7	G-7	63.51	39.37	142.41	28.48	40.97	136.20	167.11	123.66	64.90	101.50
8	G-8	156.41	199.83	188.55	176.68	140.70	205.60	164.32	112.05	158.90	192.52
9	G-9	44.03	55.98	117.79	21.72	94.16	106.92	73.00	87.74	20.94	190.32
10	G-10	148.60	50.75	34.76	26.18	191.85	208.43	82.03	80.81	127.71	26.88
11	G-11	204.42	196.19	201.92	69.05	113.09	205.41	70.84	139.63	162.47	143.85
12	G-12	8.05	7.70	12.66	31.36	24.98	16.23	23.37	50.89	209.67	52.71
13	G-13	91.31	7.62	12.50	31.06	24.74	16.02	23.23	68.51	19.38	90.74
14	G-14	39.33	53.36	87.87	219.83	173.80	112.05	163.85	179.44	77.23	205.15
15	G-15	67.24	46.45	76.59	191.61	151.12	98.34	141.81	186.17	124.47	81.43
16	G-16	52.97	16.14	26.72	66.53	52.53	34.24	49.41	66.98	133.41	194.46
17	G-17	74.55	45.46	195.58	67.19	77.94	91.75	184.10	2.33	153.26	92.10
18	G-18	14.57	20.48	154.08	52.49	108.31	190.97	99.68	58.29	163.63	41.69
19	G-19	162.95	111.77	149.59	154.11	173.40	12.93	167.95	44.79	6.82	25.59
Time	1
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	158.93	98.42	201.28	95.34	126.03	20.02	42.89	80.31	88.45	46.28
1	G-1	54.32	183.82	28.95	116.95	174.73	144.92	134.88	31.44	133.19	101.77
2	G-2	85.12	174.52	170.86	168.28	93.75	16.94	13.01	83.21	40.04	42.72
3	G-3	184.22	120.19	106.24	108.58	181.07	11.11	23.98	10.75	161.47	177.66
4	G-4	192.37	21.13	203.15	113.90	90.95	42.42	50.17	11.28	98.54	39.69
5	G-5	32.97	14.48	26.03	35.29	140.85	29.40	180.16	166.34	194.63	42.02
6	G-6	148.49	147.00	178.08	12.76	23.72	8.35	27.67	124.98	181.12	71.80
7	G-7	77.44	166.51	142.87	99.09	30.85	1.97	136.06	80.22	123.91	26.34
8	G-8	63.27	123.42	37.08	200.10	85.53	209.45	10.55	40.32	21.86	163.36
9	G-9	95.24	66.95	140.76	190.83	11.68	27.57	20.79	135.02	11.94	58.97
10	G-10	126.26	77.72	164.72	54.93	82.16	52.07	3.08	104.89	184.80	59.91
11	G-11	108.97	104.18	47.80	200.84	96.44	87.73	35.45	145.35	64.59	3.45
12	G-12	47.40	8.73	14.31	35.94	28.45	18.44	26.83	88.06	102.78	171.07
13	G-13	52.80	8.69	14.19	35.58	28.10	18.18	26.50	105.10	87.48	80.59
14	G-14	62.21	61.29	100.68	249.14	198.27	128.39	187.59	163.47	58.56	190.46
15	G-15	8.83	52.96	86.91	217.55	173.51	112.19	162.64	7.98	19.01	165.10
16	G-16	96.52	18.59	30.37	75.43	60.18	38.85	56.42	195.96	190.17	148.24
17	G-17	86.25	133.96	128.78	127.37	121.48	92.87	56.13	166.62	143.90	26.58
18	G-18	26.45	205.95	155.93	200.44	105.56	38.60	74.89	99.73	133.72	51.68
19	G-19	121.94	74.70	42.91	56.44	174.58	26.51	21.55	59.77	17.96	33.59
Time	2
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	91.80	174.92	150.53	133.68	103.03	124.32	200.80	156.89	74.75	201.75
1	G-1	34.39	113.38	119.39	64.34	207.72	146.49	174.20	107.39	109.78	109.70
2	G-2	176.55	138.53	109.86	220.42	173.98	179.65	20.79	118.11	176.87	9.01
3	G-3	66.99	52.46	41.96	83.13	66.03	112.58	118.51	106.67	135.76	24.80
4	G-4	102.96	81.27	64.61	128.41	102.47	185.90	185.45	7.40	139.46	109.89
5	G-5	106.20	83.46	66.03	131.79	104.49	95.76	16.11	63.82	32.14	196.66
6	G-6	119.25	92.94	74.06	148.21	117.57	82.56	171.95	96.08	42.81	50.19
7	G-7	25.24	19.75	15.69	31.35	24.93	25.70	24.31	198.13	68.69	166.10
8	G-8	67.00	52.76	41.77	83.79	66.42	43.08	62.11	22.50	5.84	146.65
9	G-9	134.41	94.41	80.77	174.14	138.60	89.79	129.87	46.70	41.20	134.93
10	G-10	62.14	145.80	162.42	146.71	116.70	75.34	109.76	39.88	107.24	63.21
11	G-11	17.14	165.84	79.23	47.35	37.56	24.17	35.25	12.68	55.47	144.20
12	G-12	4.90	8.01	13.19	32.75	25.92	16.83	24.57	8.81	152.56	71.27
13	G-13	202.46	7.89	12.95	32.35	25.84	16.64	24.13	8.74	134.21	124.14
14	G-14	48.86	56.05	91.87	227.67	180.80	116.84	170.79	61.76	11.16	133.05
15	G-15	150.16	48.71	79.66	198.07	158.32	102.10	148.96	14.33	11.24	105.78
16	G-16	190.20	16.96	27.64	68.91	54.80	35.53	51.51	15.04	169.35	4.63
17	G-17	53.74	44.53	58.92	17.93	48.87	95.89	172.22	174.03	160.89	171.23
18	G-18	125.17	125.14	95.22	17.63	163.10	158.71	38.62	77.67	89.63	108.40
19	G-19	139.94	45.24	209.46	178.15	151.20	171.76	40.30	7.61	17.82	114.81
Time	3
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	177.74	49.68	102.94	199.61	49.97	29.80	157.58	60.14	57.31	175.67
1	G-1	69.65	139.42	163.24	53.53	188.30	163.40	78.44	207.41	158.21	109.96
2	G-2	83.19	64.99	51.51	103.01	81.68	165.95	87.17	2.34	3.20	42.34
3	G-3	31.42	24.71	19.67	39.16	31.10	118.19	83.11	120.75	129.36	174.37
4	G-4	48.60	38.13	29.99	60.06	47.60	17.44	165.04	9.26	13.65	106.86
5	G-5	49.97	39.17	31.04	61.92	49.35	76.67	75.86	44.69	199.95	16.16
6	G-6	55.79	43.61	34.77	69.04	55.02	39.39	54.11	166.22	148.81	140.19
7	G-7	11.84	9.26	7.38	14.80	11.66	75.02	97.30	163.02	17.74	64.83
8	G-8	31.51	24.74	19.68	39.08	31.17	20.06	29.12	10.58	24.59	19.60
9	G-9	39.63	168.04	86.06	81.40	64.76	41.78	60.52	22.00	138.73	2.04
10	G-10	45.52	138.50	187.45	68.72	54.67	35.28	51.44	18.62	162.46	53.06
11	G-11	202.84	67.00	131.43	22.17	17.56	11.36	16.41	5.93	154.39	2.90
12	G-12	3.46	3.76	6.16	15.37	12.24	7.87	11.46	4.14	7.71	193.42
13	G-13	122.94	3.71	6.09	15.17	12.10	7.79	11.34	4.08	110.69	102.25
14	G-14	57.69	26.08	42.86	107.12	85.17	55.11	79.87	28.99	116.56	37.71
15	G-15	138.68	22.82	37.45	93.08	73.57	47.69	69.24	189.27	47.67	77.13
16	G-16	71.37	7.93	12.95	32.39	25.63	16.60	24.11	130.84	39.49	148.40
17	G-17	175.25	79.45	88.36	131.76	134.65	187.78	69.17	11.41	124.24	190.37
18	G-18	199.65	178.79	45.77	134.39	9.72	8.69	44.84	7.17	123.06	90.46
19	G-19	53.75	83.37	58.34	149.53	153.19	145.69	3.94	189.30	193.44	67.97
Time	4
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	103.27	43.83	36.67	13.00	160.16	25.80	142.65	78.09	185.99	175.90
1	G-1	6.11	164.93	158.80	1.06	155.74	33.72	176.23	159.30	157.84	202.46
2	G-2	96.34	75.52	60.26	119.87	95.27	174.78	5.47	47.73	45.32	153.70
3	G-3	36.75	28.63	22.79	45.52	36.06	56.43	177.68	130.94	1.63	140.86
4	G-4	56.08	44.01	34.96	70.05	55.42	44.04	191.04	32.41	204.37	122.43
5	G-5	58.13	45.29	36.08	71.94	56.91	23.77	92.58	180.82	56.96	158.19
6	G-6	64.47	50.50	40.13	80.27	63.73	65.31	185.86	61.97	171.36	117.36
7	G-7	13.73	10.83	8.60	17.16	13.55	173.33	43.42	36.73	164.88	118.58
8	G-8	36.59	28.59	22.75	45.65	36.15	23.30	33.81	12.24	178.28	209.35
9	G-9	94.68	107.28	209.86	95.24	74.86	48.58	70.71	25.59	152.69	39.79
10	G-10	153.83	2.75	76.68	79.96	63.78	41.15	59.92	21.63	139.51	114.84
11	G-11	161.03	209.07	107.46	25.58	20.47	13.11	19.15	6.92	112.39	204.29
12	G-12	135.13	140.71	74.75	17.77	14.19	9.14	13.33	4.83	150.17	100.48
13	G-13	107.32	11.51	88.89	17.57	13.96	9.10	13.16	4.76	140.29	81.42
14	G-14	112.34	42.56	155.14	125.09	98.80	63.70	93.16	33.40	120.77	30.50
15	G-15	3.10	114.22	133.21	78.19	205.70	61.69	18.40	23.36	38.64	36.33
16	G-16	63.86	56.00	116.08	141.61	163.93	81.42	100.70	33.98	102.78	64.57
17	G-17	56.71	96.03	95.06	9.07	180.98	98.28	185.08	158.31	101.69	81.90
18	G-18	111.41	27.72	155.16	158.88	169.43	48.78	100.79	181.60	118.74	205.42
19	G-19	189.78	132.77	45.99	144.51	186.62	42.37	123.97	111.23	166.19	158.63
Time	5
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	34.13	5.78	99.76	207.77	97.55	129.62	161.79	191.12	129.85	94.11
1	G-1	191.02	98.80	41.35	127.86	24.65	100.69	89.40	37.73	141.32	125.19
2	G-2	181.91	142.49	113.22	225.41	178.93	110.97	145.98	75.75	60.62	130.25
3	G-3	69.14	54.20	42.96	85.49	68.31	173.20	38.76	112.85	106.83	6.06
4	G-4	106.67	83.60	66.10	131.63	105.06	82.73	191.51	98.67	20.41	192.40
5	G-5	109.75	85.97	68.12	135.99	108.17	116.17	208.51	160.87	172.99	127.12
6	G-6	121.84	95.50	75.70	151.94	120.32	45.56	89.08	12.48	66.53	35.84
7	G-7	26.00	20.35	16.17	32.31	25.73	92.24	60.15	174.02	99.53	20.36
8	G-8	69.18	54.35	42.89	86.10	68.14	43.97	64.11	23.21	69.10	113.33
9	G-9	45.43	95.92	68.36	178.22	141.99	91.73	133.61	48.00	121.97	136.91
10	G-10	29.96	22.82	177.22	151.13	120.56	77.92	112.71	41.02	59.66	122.26
11	G-11	193.11	17.12	9.14	48.48	38.67	24.87	36.34	13.05	134.70	121.60
12	G-12	105.25	139.41	177.04	33.75	26.74	17.26	25.03	9.10	157.46	124.28
13	G-13	174.07	0.83	125.58	33.24	26.47	17.20	24.82	9.01	126.67	123.75
14	G-14	145.13	50.04	193.96	235.22	186.85	120.97	175.65	63.38	60.02	83.28
15	G-15	15.37	179.73	19.63	145.68	81.23	145.12	177.34	154.73	145.75	117.85
16	G-16	48.02	171.35	122.60	18.18	126.32	192.85	180.46	172.06	176.29	91.70
17	G-17	59.50	5.41	128.95	201.69	167.79	55.32	84.96	31.77	209.23	168.44
18	G-18	63.86	10.17	25.91	81.87	195.02	153.75	67.84	58.07	3.09	88.06
19	G-19	12.04	15.87	102.43	51.46	148.23	125.04	198.35	42.24	209.09	136.90
Time	6
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	204.52	5.30	170.99	34.23	55.10	102.36	156.63	195.42	131.96	63.53
1	G-1	26.93	164.20	125.20	140.34	31.54	15.48	177.10	135.48	165.28	120.92
