ID	NAME	COL-1	COL-2	COL-3	COL-4	COL-5	COL-6	COL-7	COL-8	COL-9	COL-10	COL-11	COL-12	COL-13	COL-14	COL-15	COL-16	COL-17	COL-18	COL-19	COL-20
1	ROW-1	36.40	99.72	92.17	25.64	52.23	41.03	55.11	19.43	70.07	24.63	49.32	22.34	9.44	27.39	11.72	33.97	12.65	98.50	52.33	84.66
2	ROW-2	94.53	74.08	96.66	98.82	52.85	99.38	50.13	19.15	99.24	98.06	99.01	20.67	10.65	99.29	20.78	97.60	27.28	6.76	99.01	12.39
3	ROW-3	52.38	40.34	57.70	58.24	51.27	99.21	42.18	39.31	30.97	34.23	2.59	34.95	70.49	74.68	60.20	15.14	61.97	79.19	8.40	20.52
4	ROW-4	39.37	85.86	45.44	88.49	57.42	88.96	1.74	91.71	36.21	82.46	58.77	71.62	35.50	71.91	38.77	25.92	55.85	70.32	84.33	42.79
5	ROW-5	24.67	48.31	92.33	0.10	18.68	72.05	29.02	67.67	92.28	50.95	85.57	71.58	27.77	42.03	41.35	49.73	61.66	55.34	95.61	33.05
6	ROW-6	54.09	20.59	54.87	46.32	2.22	13.82	26.71	85.70	37.62	48.48	95.25	60.38	44.29	81.21	68.12	95.74	1.45	97.24	97.20	16.06
7	ROW-7	26.88	32.37	85.85	26.55	62.21	25.02	33.78	93.27	6.44	95.44	38.03	20.66	6.40	56.94	22.82	63.71	83.92	81.58	43.22	39.52
8	ROW-8	67.25	22.79	15.08	18.53	78.23	67.53	69.18	8.16	8.09	53.22	81.83	61.28	62.18	45.24	42.45	89.80	27.91	48.49	0.94	54.37
9	ROW-9	42.87	3.67	43.61	84.38	25.82	94.68	29.67	79.65	27.04	6.98	22.93	33.73	66.22	95.64	5.38	22.16	68.15	82.07	39.11	82.76
10	ROW-10	41.43	41.40	96.34	41.32	62.49	41.18	41.43	99.84	41.15	41.14	41.43	41.10	50.04	23.22	96.63	98.02	1.31	71.31	41.38	41.47
11	ROW-11	35.49	93.69	41.33	50.98	54.81	65.88	41.93	86.48	4.67	11.08	69.14	89.61	65.79	16.37	43.93	51.79	7.88	92.31	99.32	90.92
12	ROW-12	87.64	79.14	59.68	9.51	73.78	44.63	89.37	73.18	60.17	73.22	63.67	76.28	32.49	80.70	78.08	57.85	2.40	48.94	30.11	75.31
13	ROW-13	69.50	69.53	20.16	69.51	89.34	69.37	4.26	39.67	69.52	69.51	69.39	69.81	70.68	10.83	90.86	1.63	80.08	32.19	69.31	69.76
14	ROW-14	43.93	1.99	33.30	99.06	71.93	99.14	44.07	43.90	99.67	84.19	100.00	44.19	65.76	99.93	22.31	48.38	18.57	37.29	44.04	44.03
15	ROW-15	9.23	0.68	87.66	92.60	73.21	85.38	5.05	14.34	40.83	27.51	43.83	59.71	26.19	76.81	88.78	35.02	68.96	93.89	99.76	2.37
16	ROW-16	60.40	60.89	88.21	60.79	79.19	60.82	24.50	77.51	60.81	60.48	60.67	60.81	88.34	92.47	72.56	84.82	95.18	84.51	60.33	60.87
17	ROW-17	73.25	73.65	80.19	73.52	92.43	73.36	73.79	67.82	73.60	73.81	73.68	73.35	64.55	68.18	72.37	4.74	8.76	51.97	73.24	73.54
18	ROW-18	30.77	30.86	49.07	30.89	29.75	30.94	30.92	28.66	30.96	30.68	30.90	30.68	37.28	97.94	22.44	13.12	6.17	94.51	30.87	30.93
19	ROW-19	87.31	44.15	73.48	33.95	11.76	94.15	28.54	94.82	90.14	75.06	85.99	76.03	57.39	3.13	4.07	90.92	55.43	78.22	72.83	88.75
20	ROW-20	26.38	19.99	96.37	26.03	23.68	26.11	26.30	26.38	26.04	51.89	26.11	26.38	50.16	25.99	99.79	69.45	80.40	43.94	26.49	26.28
21	ROW-21	75.54	25.96	31.98	60.43	99.81	60.66	75.62	75.34	60.60	87.87	60.66	75.19	10.46	60.58	55.85	67.48	93.35	91.41	75.75	75.74
22	ROW-22	53.71	66.62	87.82	16.35	27.75	21.57	57.09	6.32	70.03	77.70	53.89	22.69	94.70	45.37	40.97	52.42	93.14	41.45	22.88	61.58
23	ROW-23	15.38	76.77	8.96	76.26	31.01	76.08	94.85	14.93	76.18	76.11	76.54	18.82	71.33	32.81	90.66	48.68	2.64	75.82	25.27	27.50
24	ROW-24	40.39	40.51	25.20	40.71	86.58	40.38	1.47	53.70	40.47	40.66	40.71	40.39	12.45	73.42	16.48	47.87	70.00	57.35	40.41	40.43
25	ROW-25	84.26	63.02	75.57	98.05	43.12	27.96	37.91	71.25	31.52	43.86	13.62	5.69	40.74	3.10	2.86	19.44	87.67	88.35	10.10	15.63
26	ROW-26	35.01	34.96	73.52	87.40	95.34	87.72	35.10	35.13	87.37	34.99	87.78	35.00	63.54	87.75	42.31	47.90	26.49	3.02	35.07	35.18
27	ROW-27	33.90	39.04	88.34	2.75	2.23	62.70	61.58	13.22	35.83	49.98	69.43	99.97	62.71	36.53	79.74	46.12	83.36	15.73	13.46	1.80
