ID	NAME	COL-1	COL-2	COL-3	COL-4	COL-5	COL-6	COL-7	COL-8	COL-9	COL-10	COL-11	COL-12	COL-13	COL-14	COL-15	COL-16	COL-17
1	R-1	161	110	139	139	161	139	110	161	161	110	161	195	220	139	139	139	161
2	R-2	208	139	69	110	139	110	139	161	161	110	139	139	179	139	161	139	110
3	R-3	425	429	451	423	465	395	472	448	416	507	466	464	432	463	494	458	484
4	R-4	289	248	220	161	161	110	179	139	139	110	110	161	161	139	161	139	179
5	R-5	366	364	340	256	283	208	240	208	195	208	179	208	208	195	220	208	264
6	R-6	271	300	347	300	304	294	337	294	277	309	300	326	314	309	322	277	283
7	R-7	179	69	139	110	161	110	161	161	161	110	139	179	179	139	139	110	161
8	R-8	240	179	139	161	179	139	195	208	195	139	161	179	195	161	179	179	179
9	R-9	179	161	139	139	208	161	208	208	179	179	161	179	179	195	179	161	179
10	R-10	337	326	322	330	397	326	376	358	322	333	314	333	343	337	353	314	337
11	R-11	195	220	179	161	264	179	248	264	230	220	220	220	230	220	208	179	230
12	R-12	294	289	264	230	264	248	283	283	264	256	240	256	277	240	264	248	256
13	R-13	271	300	300	462	300	300	340	309	289	294	289	300	304	304	314	277	277
14	R-14	264	110	110	139	208	161	179	179	161	161	208	220	230	179	161	139	195
15	R-15	139	69	69	69	0	0	69	69	69	0	69	0	69	69	0	69	0
16	R-16	264	248	264	230	264	230	271	264	240	208	230	240	240	195	208	179	220
17	R-17	179	110	139	110	110	69	110	110	69	69	69	110	110	110	69	69	110
18	R-18	277	264	277	264	283	248	300	277	283	248	271	289	294	256	277	248	248
19	R-19	264	256	277	240	230	248	340	343	343	304	304	294	283	294	330	330	340
20	R-20	304	333	369	347	340	322	353	330	314	318	330	347	347	326	340	304	294
21	R-21	277	353	353	309	340	330	381	347	314	294	294	309	322	326	322	277	322
22	R-22	161	161	161	378	179	179	220	179	195	179	161	179	208	179	179	161	161
23	R-23	240	161	179	179	195	161	220	208	195	139	179	195	195	179	195	179	195
24	R-24	161	0	0	69	110	69	110	69	69	0	69	69	69	69	69	0	69
25	R-25	350	353	314	318	361	330	376	369	350	330	356	361	350	343	353	350	350
26	R-26	358	300	294	289	322	283	347	314	309	347	326	333	322	326	350	322	309
27	R-27	220	139	161	179	195	161	195	179	179	179	179	179	208	179	195	195	179
28	R-28	271	283	300	283	289	256	314	304	283	240	248	271	271	264	294	248	289
29	R-29	110	139	195	161	161	139	161	110	69	110	139	179	179	110	110	69	69
30	R-30	0	110	110	69	110	69	110	69	69	69	69	110	110	69	69	0	69
31	R-31	264	326	347	300	314	314	350	326	314	318	300	309	322	304	326	277	304
32	R-32	337	333	366	161	333	304	347	330	314	314	289	314	322	322	322	289	314
